sha,message,label,predicted,prob_CommitLabel.BugFix
00f3c09f44c99c631b7c6ed4b137e67154735973,.,CommitLabel.NonBugFix,-1,0.5
004c1747f62c4085fdf55348c5f6f5cdcddc9c1e,* src/main/clojure/clojure/core/logic.clj: improvements to !=fd,CommitLabel.NonBugFix,0,0.4
00279d8a06bd1f52e9b8e70896585bd16d88e430,"in an operation, inherit the unit of either operand",CommitLabel.NonBugFix,1,0.85
0060df80155401c1bf34a0f6f791c193f7825ca1,Ability to customise album and photo scroll view background colors.,CommitLabel.NonBugFix,0,0.14
0037eefde06cbd16352cafe2c756abdb81bc726e,[core] Flesh out the metrics tests.,CommitLabel.NonBugFix,0,0.36
0052ded0a918227cb9f62ec892a95082925a6481,Remove tableView delegates when dealloc.,CommitLabel.NonBugFix,0,0.37
009264f02318358ffde6fb93e9957ba4b4c7c4ec,* test/logos/test/core.clj: add flatten o test,CommitLabel.NonBugFix,0,0.0
1f4bab64533366f4312621f6cbcfe3b8f95b3820,Added rootpath tests.,CommitLabel.NonBugFix,1,0.53
032a1abe48bd2b92645876f986a70724196c93f9,Fix color for static text field,CommitLabel.NonBugFix,1,0.77
0337bfa178691354397bea8939e5782344de6a95,Remove force-inline option (closes #102).,CommitLabel.NonBugFix,1,0.64
81b48ac826176b9899d0d34f672390d29bf657a9,Extend ? macro to handle optional timeout and default value.,CommitLabel.NonBugFix,1,0.89
2eb1339249cc3cdeb734e8d93b34659fe9920d34,"PrimitiveArrayMapper implementation

Fixes AutoMapper/Automapper#279",CommitLabel.NonBugFix,0,0.36
2e78d7a8386a8d1be415432855ccfc80227204f1,switch imports back go coopernurse/gorp,CommitLabel.NonBugFix,0,0.32
0b9bd2f4704b6d1708ec5f224d65403513de6061,add some notes to pick up with later,CommitLabel.NonBugFix,0,0.46
0b00e39b2692f34e1d9c2f00e96a801892e53f14,Making all relevant contexts obtain a permanent id before saving,CommitLabel.NonBugFix,-1,0.5
0b81151c7e8041127974c7d40f8f781359b597ce,gofmt,CommitLabel.NonBugFix,-1,0.5
0b561e911cb9959f9b7cff165d4c05dd1ba5cbae,"Update test.0028, include unary op check.",CommitLabel.NonBugFix,0,0.01
0b0c7711803709aa338468856924ca6037e7c033,Minor code standards enforncement,CommitLabel.NonBugFix,1,0.96
12b6c1d60b382ebd4e7827f81a8f717f3bdeefe7,Set version 1.5.2,CommitLabel.NonBugFix,0,0.06
02fa34fb3f5d1e84f6163429c7a88e1c1425cba2,Restoring FindTypeMapFor,CommitLabel.NonBugFix,-1,0.5
02bb402c4df4f1fa0a951d4a9e9ad2b671794afc,change @arguments behaviour to be more like js,CommitLabel.NonBugFix,1,0.85
02e3559664f87e65f5e96edbab567077e5fc527f,* src/main/clojure/clojure/core/logic.clj: move some stuff around,CommitLabel.NonBugFix,1,0.61
02aa47b917e05279e5acc5802a084a718a3ab196,bump version,CommitLabel.NonBugFix,1,0.51
0285cb83db40e5d5c6742b1d2e5f1b6052fa4285,* src/logos/minikanren.clj: quick note,CommitLabel.NonBugFix,0,0.39
33b6d722e59dab58a64c282232f857abaf26e20d,Bump schema version,CommitLabel.NonBugFix,0,0.1
1581668d79e71fe5ba1fb50154033eef52583158,Use android-sbt 0.6.4 stable version,CommitLabel.NonBugFix,0,0.2
15e017d2855eb2f7e7519d6ae5a190c0c5b974c6,add support for proxy authentication,CommitLabel.NonBugFix,0,0.19
3aa59f87d2d4ba141c81f0d892fc041a25ef649d,"Add support for time.Time objects to gorp.

This commit adds support for storing and retriving time.Time objects,
by passing through such objects to the underlying driver.  This
resolves gorp issue #14.

The commit is tested and works with the github.com/mattn/go-sqlite3
driver.

The commit does not currently work with the
github.com/ziutek/mymysql/godrv driver, due to a bug in the mysql
driver.  This problem is resolved by mymysql pull request #77.  I have
successfully tested that with the fix from pull request #77 applied to
mymysql, and with the current commit applied, gorp can correctly store
and retrieve time.Time objects from mysql databases.

This commit is NOT tested with the github.com/lib/pq driver.",CommitLabel.NonBugFix,1,0.64
144062347c01d72e4792b1b8aee1f687eb793a4a,Minor formatting updates,CommitLabel.NonBugFix,0,0.18
35630db0de0609a3799d91891deea9301d0dad4c,Cut 0.1.1 release,CommitLabel.NonBugFix,0,0.42
356b4f09c54bf9a7a33bff8b598902238335cce2,Update project.clj to 0.0.2-SNAPSHOT,CommitLabel.NonBugFix,0,0.14
13c545f1fb61b1dbdffab0ec35acead09b556356,Use 0.2-SNAPSHOT,CommitLabel.NonBugFix,-1,0.5
13dbb5687464c8311de3be3e092d86d8bfb650c3,"Permit caller to ""prime"" PropEr's typeserver and random generator prior to testing

The motivation of this change request is to permit testing of a
module's exported functions by using both PropEr *and* Meck.  Before
Meck is enabled to mock a module, the cache of PropEr's typeserver
must be first populated.  Otherwise, PropEr is unable to gather a
module's specs.

Sample code to illustrate this technique:

````
-spec check_specs(module()) -> term().
check_specs(Mod) ->
    %% pass through to the original Function Under Test (FUT)
    check_specs(Mod, fun(_Module, _Fun, Args) -> meck:passthrough(Args) end, [], []).

-spec check_specs(module(), fun((module(), atom(), list()) -> term())) -> term().
check_specs(Mod, FUT) ->
    check_specs(Mod, FUT, [], []).

-spec check_specs(module(), fun((module(), atom(), list()) -> term()), proplist()) -> term().
check_specs(Mod, FUT, PropErOptions) ->
    check_specs(Mod, FUT, PropErOptions, []).

-spec check_specs(module(), fun((module(), atom(), list()) -> term()), proplist(), proplist()) -> term().
check_specs(Mod, FUT, PropErOptions, MeckOptions) ->
    proper:global_state_erase(),
    proper:global_state_init_size(1),
    case proper_typeserver:get_exp_specced(Mod) of
        {ok, MFAs} ->
            meck:new(Mod, MeckOptions),
            try
                %% @NOTE Expand MFA clauses for larger arity as needed
                Fun = fun({M,F,0}) ->
                              meck:expect(M,F, fun() -> FUT(M, F, []) end);
                         ({M,F,1}) ->
                              meck:expect(M,F, fun(A1) -> FUT(M, F, [A1]) end);
                         ({M,F,2}) ->
                              meck:expect(M,F, fun(A1, A2) -> FUT(M, F, [A1, A2]) end)
                      end,
                lists:foreach(Fun, MFAs),
                proper:check_specs(Mod, PropErOptions)
            after
                meck:unload(Mod)
            end;
        {error,Reason} ->
            error(Reason, [Mod, PropErOptions, MeckOptions])
    end.
````",CommitLabel.NonBugFix,1,0.93
13635e746222e5d7a438ce2727efc8488011bedf,ability to insert uppercase color names,CommitLabel.NonBugFix,1,0.86
d34194b3987d2d527e78369744cfa46a0ecaea96,better lazy test -- make sure that lazy error checking happens,CommitLabel.NonBugFix,0,0.37
45d764a58d4b11c0cbdeb10fa442a18680e492ff,Cleanup code is now debug-only,CommitLabel.NonBugFix,1,0.61
831cd1666015ed07bd218995e8ab9b760739a380,"Make 'no-sbt-classifiers' to be the default

With lastest sbt version, 'gen-idea' task fails if we don't already have
sbt-idea's sources/javadocs in local ivy repo. This is because currently
sbt does not include extra plugin repositories in 'update-sbt-classifiers'
resolution.

Until now the workaround was to run 'gen-idea no-sbt-classifiers'.",CommitLabel.NonBugFix,0,0.02
07fe116be5959b6b296c52af56b2c78f0c788d7b,Allow aeson 0.7.*,CommitLabel.NonBugFix,1,0.72
07c7bf190317709b2e4df486241e192d06e11785,gofmt,CommitLabel.NonBugFix,-1,0.5
072a8519ab9484e753ad07b9eccbec56af23033d,"Removed base Model requirement for Document

This var is unused since DocumentModel inherits from FileModel",CommitLabel.NonBugFix,1,0.65
07cbaebd9d79670f32918a4d43cfb612f4b08fcd,0.9.7. added maxAge option,CommitLabel.NonBugFix,1,0.57
0785265c7cd25170cff59c5d2bf916ab64519998,Add the cleanup code for the region db connection,CommitLabel.NonBugFix,0,0.06
0c8ba3352292e2a5cdd0c7b11615bf2248021afb,"Added ability for custom resolver to programatically determine if the mapping should be ignored (and thus use destination value).

closes #21",CommitLabel.NonBugFix,0,0.39
0c2a43ca2922cbda6916a97cee4bef8cfbfc67c2,[overview] Fix strict warnings.,CommitLabel.NonBugFix,1,0.95
0c60bcd4b8c2ca38555f9e7a3fd57cd7e9c0258a,Added inContext helper to get a managed object in another context,CommitLabel.NonBugFix,0,0.26
0c28ea2ef98432bae85581da1951e49e76646375,cleanded docpad dev comments,CommitLabel.NonBugFix,1,0.63
0c29955c6b3d30e8f1eac0a472cdf2f7b1a7f1c5,"Cleaned up the generation code. Tests passing. May need to change the mtime query to include new documents, as new imported documents with an old mtime won't be generated.",CommitLabel.NonBugFix,0,0.0
22537c01364b867d0ba335e6024242752a9bda47,add bug reporting instructions on crash,CommitLabel.NonBugFix,1,0.99
063d5192a1312fa5cdf8d436f3e8bd0f35cfaf67,Add tests for () conversions,CommitLabel.NonBugFix,0,0.17
066e38ce09791d815301c3057725da41c92c1b95,watch generate will now output time it was regenerated - as it is super dooper fast these days,CommitLabel.NonBugFix,0,0.2
0e00ea7ac0e8517265555b719c5c5dfbc9ea5fe2,"Support Ctrl-p, Ctrl-n in command and search history",CommitLabel.NonBugFix,0,0.04
0e552449d23bfcdee4ba2fe292b6f3c8e1f97d43,"Made scrollToCursor more like vim

If scrolling more than the page height then center the view",CommitLabel.NonBugFix,-1,0.5
0e63a07b7165dd75b03687ce80b377f5b79d8bbe,"Add execluded.folders property for specifying a list of folders to be
excluded from Idea project view. Closes #41.

Removed exclude.libmanaged.folders property. Use
'excluded.folders=lib_managed' instead.",CommitLabel.NonBugFix,0,0.3
28672dc2b4419582cd4a6dfc9b2dfd06f3f12c92,"review url:http://rb.corp.taobao.com/r/25219/

changelog:
1 merge了 liseen.wan@gmail.com提的patch.



git-svn-id: http://code.taobao.org/svn/tengine/trunk@40 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",CommitLabel.NonBugFix,1,0.86
10ed027555fd5ca0cb8ddda3853c399c7809bd8a,Include 'optional' dependencies in classpath (#198),CommitLabel.NonBugFix,1,0.72
697f4185757b4b5aecd054d9514504c4c32714f4,"v6.42.3. Improvement.

- v6.42.3 June 26, 2013
	- Swapped out synchronous file system calls for asynchronous ones
		- Closes [issue #538](https://github.com/bevry/docpad/issues/538)
	- Fixed DocPad version number undefined in X-Powered-By response header
	- Added the ability to turn off the X-Powered-By meta header by
setting the `poweredByDocPad` to `false` in your configuration",CommitLabel.NonBugFix,0,0.18
b7c3895a7b3a1dd7489c9f084e4d9e7366152747,"Download classifiers by default unless no-classifiers or no-sbt-classifiers is specified.

Fixes issue #63",CommitLabel.NonBugFix,1,0.77
6a707e2887bb385a49d6ddd5d1991f95ff4675e4,Use full path to fix Idea complaining about the Null import (Idea Scala plugin bug?).,CommitLabel.NonBugFix,1,0.98
38d0fd593b5b4050cad8d7539ae98cd519206934,All tests pass,CommitLabel.NonBugFix,0,0.0
1e85846418479ec9626aa71f196a3ff619f42bb5,use type switching for different commands instead of type codes,CommitLabel.NonBugFix,0,0.39
0ac97e8c38a85b10557f246c4c1fc90ebcbb1d5f,v5.0.2. Removed some stray console.log's,CommitLabel.NonBugFix,0,0.27
0a3031f31c66335d78a3a75ad6a0974c467b2737,added the 'log_empty_request' directive,CommitLabel.NonBugFix,0,0.14
0abdc4acec39581e799d7699ebb8fb0819a8aff8,Add 'rename' test.0004.,CommitLabel.NonBugFix,0,0.0
8541d7ca595449570852428edbe647aa00f0d435,fix on register(),CommitLabel.NonBugFix,1,0.97
756771aa990c5b6284595036de231398ee4819ca,allow `fixc` to take rands. x can be a vector values in this case.,CommitLabel.NonBugFix,1,0.86
2da2027c6ab38bb971eab2192124e94a3bbf0470,Simplify add_exports/1 transformation.,CommitLabel.NonBugFix,1,0.68
2d6b26acd42bf67fbf6c3c249ce1d818e393b45a,Ensure we compile with full speed under leiningen.,CommitLabel.NonBugFix,1,0.74
245c721d45a886bb18a9bb5b635d7c2bad38aaf4,gofmt,CommitLabel.NonBugFix,-1,0.5
00233f0d1ff32ec8b3ad24cbc6b1f944e8f79452,"Allan Stirling - Add single retry of connection to master backend


git-svn-id: http://svn.mythtv.org/svn/trunk@6647 7dbf422c-18fa-0310-86e9-fd20926502f2",CommitLabel.NonBugFix,0,0.26
0041ac6cdbc68df00b0a31cb8b0b468fdebcbb61,"Change the video rating statetype to ten states to match mythmusic and the watch recordings screen.

git-svn-id: http://svn.mythtv.org/svn/trunk@19671 7dbf422c-18fa-0310-86e9-fd20926502f2",CommitLabel.NonBugFix,1,0.9
005d0aa94511f1afa309ab6a4a0da55b676c39fc,"Displays Later Showings in the same font as Earlier, Disabled, and other non-recordings states



git-svn-id: http://svn.mythtv.org/svn/trunk@7763 7dbf422c-18fa-0310-86e9-fd20926502f2",CommitLabel.NonBugFix,1,0.86
003744e9e1b4d4ac88f43e46e0d08275de2f7832,"Pointless char*->QString->char* conversion, which is dangerous in Qt4.
Looks like it has been that way since the original MMon patch [2696].
Much easier to change these instances, and pass char* around,
than change all the method signatures, like in Daniel's patch. See #5596


git-svn-id: http://svn.mythtv.org/svn/trunk@18325 7dbf422c-18fa-0310-86e9-fd20926502f2",CommitLabel.NonBugFix,1,0.62
cda48814e7257587a5787e7a6757c210d4017eab,Temporary fix to avoid duplicate project dependencies and add FIXME describing correct solution.,CommitLabel.BugFix,1,0.85
3d5148e389c4eb92cc5cc00219793f4c6cf85cde,Fix compiler warning,CommitLabel.BugFix,1,0.71
9e35e4b7df146e3f1610380af59ea4cb3672540f,Fix 'rename' test.0004.,CommitLabel.BugFix,0,0.46
3047f7603e62edd5a2b2b6953b04a3f55e09e415,"use a hash to store variables, fixes variable redifinition bug",CommitLabel.BugFix,1,0.96
9761e82ec735d15f0b47045da41f9028c3402a9b,Proper fix for ability to rename non-maps with [:x :as y],CommitLabel.BugFix,1,0.9
16ad5bee0ba80d5f7db40efcb2c0ec175bc14faf,Fixed inner quotes,CommitLabel.BugFix,1,0.97
1683a2df95c72beefb9feac0559c10324c1ef413,fixed a segment fault bug with upstream check module when check timeout is longer than the check interval,CommitLabel.BugFix,1,1.0
08176c617db0daf4130b748d65524d91c4a28d2f,Fix bug and add test for shadowing of optional value with fnk args,CommitLabel.BugFix,1,0.81
081a1f7fde6de73f590513bfbd6ca8dada1edd95,"fix update to use ssl, specify the right parameters",CommitLabel.BugFix,1,0.67
c1928b018e4e0e05bacdd34fc23514bc1ca6e8c9,fixed ColumnMap.Nullable docs,CommitLabel.BugFix,0,0.46
4c374be5a7e1a2cc94b2bdb4c7d4b0cfce6ddf8a,Fix Memory Leaks found through instruments,CommitLabel.BugFix,1,0.95
017bb2c234973a44942b9ae657d4c6f3f3f40601,Improvements to browser tests that don't raise a false negative when switching branches,CommitLabel.BugFix,0,0.06
01117d79ddd65d18766965971717bfbbf84b2b2f,[models] Take into account images on switch cell layouts.,CommitLabel.BugFix,0,0.14
01ab6fef7b8bd8546bddc5c3c189d47e22e7b23d,Add Maybe hack to compiler until order is sorted out.,CommitLabel.BugFix,0,0.08
39445d4e3cb1e680b6ec3c3615e697307fcc18d9,"Fixed bugs related to reusing table view cells

- SegmentedControl selected index reapplied from FormElement object
- DatePicker date is saved to FormElement on change",CommitLabel.BugFix,1,0.99
b9ca4ca2816dc7451c7e47f65ab3772d67f268a4,Fixed an issue with content type being looked up twice,CommitLabel.BugFix,1,0.97
04204899b10dfb32ab9cbea4d4da26075e6236da,"Add "")"" only if the type is a function.",CommitLabel.BugFix,1,0.76
097ec88425ae7daaeb807ba34099fe167a0a704b,fix an issue where closing a TCP tunnel caused an infinite loop of errors,CommitLabel.BugFix,1,1.0
09f75f469a83c7b4a3a5134d8b25f82d9f87724d,fixed type orddict(),CommitLabel.BugFix,1,0.97
2733f15ef93092e86f65ed551fa408cd42a93084,Fix memory leaks,CommitLabel.BugFix,1,0.95
b266b4eebbef51f48a87da6c8206463e0ae868b2,Fix typos in docstrings,CommitLabel.BugFix,1,0.95
0086f1babb23b84c56542fdda0ea37a5f1e5443c,Declare `e` properly in `mediaFeature`,CommitLabel.BugFix,1,0.74
00243b50d73a14e605fa59e70cb5782ab0b721a9,"[models] Properly respect the return value of the radio group delegate's willShow method.

The logic was inverted.",CommitLabel.BugFix,1,0.96
9326c7b724ec9daf88d6e4cf0d81e01161dcdbab,* src/main/clojure/clojure/core/logic/minikanren.clj: occur-check fix and test,CommitLabel.BugFix,1,0.65
03cd303b596d27bd4b6cb4afd1029fa837a3323a,"When scanning for Go files in dir, filter by also file class. Closes #13

We don't need to use dirs as go files, etc.",CommitLabel.BugFix,1,0.95
51b2833c1c381550f753f1b15ab05e8858bd122e,"Fix #443
The root cause of the problem was inconsistent state of observer objects.
Because we have not unhook ""dealloc"" method, if XVim is disabled once and
a view is newly created and deallocated the method ""removeObserver"" is called
for a object which is not registered as a observer.

This has not been a problem in Xcode4 because Xcode4 deos not dealloc unused
view objects. Xcode5 does properly dealloc unused view objects which leads crashes.",CommitLabel.BugFix,1,1.0
8b34e461970723c63275268fa12ba9dcc8fca33a,"Fix win32 build, due to package renames in one of the latest weeklies.",CommitLabel.BugFix,1,0.89
21cc34b608f483fb101923b597640408815ab0f5,Fix #791 - avoid engineering syntax in dimensions,CommitLabel.BugFix,1,0.95
d2f3fc844007b54e4caf6a896e273988b27a01b9,fix a race condition handling new proxy connections by passing the connection variable into the goroutine instead of closing over it,CommitLabel.BugFix,1,0.99
5341e84c4c0c23e7a650ec3f433b564e4a3357d8,Adding an observer to check for icloud being setup after default context has been set. Should fix race condition in Issue #241,CommitLabel.BugFix,1,0.62
3f308d97a1c48423d23733b1361484f04228cdda,"Process 'provided' scope before test and runtime (#186)

Fixes a case where a dependency declared as 'provided' will
end up as 'test' scoped when the same dependency is also a
transitive dependency of test scoped dependency. Provided dependency
may be needed for compilation, so it ending as test dep breaks 
compilation in Idea.",CommitLabel.BugFix,1,0.75
d56b7ecd5fd9fe4fd1e2efbae616cda4562a7a01,"Fix memory leak, add check for previous import",CommitLabel.BugFix,1,0.97
dbe6e9fb711878d70a627d2eca9126d9d7cf0263,"rb: http://rb.corp.taobao.com/r/27547/

changelog:

use scan-build(http://clang-analyzer.llvm.org/) check and find a little warnning, so fixed it.



git-svn-id: http://code.taobao.org/svn/tengine/trunk@53 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",CommitLabel.BugFix,1,0.97
02ce1378f5724babbd43cf2ff9e93d3fc86ea322,"remove root-var calls, not needed w/ update-dom",CommitLabel.BugFix,0,0.33
02d40258f4540cabd1a66c6eb19c229b2ba8211b,"Prevent crashes after deletion.

If you delete the last characters on a line the cursor ends up in an
invalid position. Replace all [view cut] with [view del], where the
latter adjusts the cursor position after deletion.",CommitLabel.BugFix,1,0.91
02be3bd366d4dcb533a98a3c047772799e6ebac4,fixing options.,CommitLabel.BugFix,1,0.95
02f55393fece8662c74db211cdedd3eb3d28144d,allow to intercept responses with status 300.,CommitLabel.BugFix,1,0.86
563793aff7b19062ecfc39e6a1ec26063bb93e45,typo error in markdown plugin renderer,CommitLabel.BugFix,1,0.96
3afb63081ce01a7a8f8c90aa2a7ad9429a23e470,"Return a sql.ErrNoRows when SelectOne does not return any row.

The SelectOne wants to return just one row, so it should also return an error
when no rows were returned. In this case, this function will return an
sql.ErrNoRows, as it's done in some functions of the database/sql package.",CommitLabel.BugFix,1,1.0
148702929b4f0d54be8fc9b52a9234d34012f3ea,switch back to Close() calls since CloseRead() seems to cause sockets not to flush their writes,CommitLabel.BugFix,1,0.59
6c3d57e7a53fb0940045e38163f035fff0ff66b5,"Bugfix: the ""[alert] zero size buf"" error.",CommitLabel.BugFix,1,0.99
13be54d4e7262343a004afb512a12e4610533b7a,make sure every new tunnel connection and every new http connection has a read/write timeouts until handled by a tunnel. fix a bug where a slow tunnel or proxy connection could block all others. fix a bug where sending a non-expected valid ngrok protocol message over a new connection could leak a connection,CommitLabel.BugFix,1,0.94
b0e01e749a777738d8d0df2eb315a339ee519d76,Trying to fix SN problem and probing adapter resolver issue,CommitLabel.BugFix,1,0.84
b0836494a4b3494f5b62aa00c0f7f4dea124fc57,"Fix fields of records that should also not be forced, also very important (refs #237).",CommitLabel.BugFix,1,0.95
4547c7257c5a540b5395b650e52655756696a875,* src/main/clojure/clojure/core/logic.clj: fix make-cs calls,CommitLabel.BugFix,1,0.95
f9b68f8f741c3e48520edeb597a20714c18bc165,"Update tree.js

in windows system,path sep is '\',the old regexp is not match it. I whrite a
new regexp and fix it;",CommitLabel.BugFix,1,0.55
54f6b040ac8a22f3e48f33414afaa0a96ea20182,"repair a bug in upstream, process_header and process_body_in_memory
http://rb.corp.taobao.com/r/23292/

git-svn-id: http://code.taobao.org/svn/tengine/trunk@24 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",CommitLabel.BugFix,1,1.0
54751ce3135544e19b950c091229c2436673face,Use DumpRequest which includes all headers unlike it did in Go 1.0 instead of the hack to use DumpRequestOut which was limiting raw request body lengths to 8192 bytes. Fixes github issue #4.,CommitLabel.BugFix,1,0.79
42f74303f4a11e785b50c0790355b327883d4195,minor fixes to unit tests,CommitLabel.BugFix,1,0.97
0c7bf6ae13068ec059231c7f7214ddb3b1d2d2c4,web ui address displayed properly in terminal,CommitLabel.BugFix,0,0.42
0c09090eb2ced65b7082d045c7c05f315b31f37c,fix the wrong number of arguments in keepalive_timeout,CommitLabel.BugFix,1,1.0
55c2333c17bc9eb06e64c8f446269accfd6200a9,"[css] Maintain casing of CSS property values.

Fixes #185.",CommitLabel.BugFix,1,0.95
22c5bd77c43e796a86aceeff3450c3583718cd7c,Fix global variable leaks,CommitLabel.BugFix,1,0.99
4864397df52454a24a41029b7b9339c70b0a8caa,"v6.21.7. Bugfix.

- v6.21.7 January 25, 2013
	- Fixed port not defaulting correctly on the `docpad-server` executable since v6.21.5
		- Closes [issue #407](https://github.com/bevry/docpad/issues/407) thanks to [man4u](https://github.com/man4u)
	- Updated dependencies
		- [bal-util](https://github.com/balupton/bal-util) from ~1.16.0 to ~1.16.1",CommitLabel.BugFix,1,0.62
3171a62f0d16641ea329f72197acce76c7c71841,fix font shorthand with %,CommitLabel.BugFix,1,0.97
3154568a8996d0ebe3de25df163db61e85515905,fix safefd example to use !=fd,CommitLabel.BugFix,1,0.93
947c742d04edf30b295e34a77676eee2c609dbeb,Don't swallow useful PostgreSQL errors when INSERT fails for some reason.,CommitLabel.BugFix,1,0.99
062953110a99962972b3793846b2588a1a1a2ef7,Making sure not defining MR_SHORTHAND does NOT include any unnecessary runtime changes,CommitLabel.BugFix,1,0.53
41700e72f46281f56934400265e8ce583604c53f,Fix FFI callbacks when too many arguments are provided.,CommitLabel.BugFix,1,0.95
0e43b65049ef98fbc4b959b88854bc17733d0cb2,"Added weighted_default/2 and some bugfixes

* non_empty/1 now covers binary types too
* fixed a bug with noshrink/1",CommitLabel.BugFix,1,0.89
7afc78579e7ce77a4b1c6000cd199462ba0dd279,Fix and test ability to rename non-maps with [:x :as y],CommitLabel.BugFix,0,0.36
26e19be4a499eef06d5ef5450a3ffa6a1441c67c,fixed for nginx standard,CommitLabel.BugFix,1,0.97
bfd7e64d9fdbe902d74cc96d4577b6d5cfaf60a0,fix race condition in logging initialization. go fmt,CommitLabel.BugFix,1,0.89
5fd65be3cf7bbbade37b51b9a0e1e84b8f55cf58,fix a small print formatting in displaying the metrics reporting interval,CommitLabel.BugFix,1,0.53
633e5ad362943a6eb043fa68da2963929466b796,Fix sneaky package parser rewrite regression.,CommitLabel.BugFix,1,0.77
10139f1c2e9c473bbf2412b34ee76d6427c659a6,maybeExpandNamedQuery: ignore time.Time struct - fixes #84,CommitLabel.BugFix,1,0.77
10de9d02e4ee08b2dc07e0035b0ab9bf7f43781a,critical fix for browser,CommitLabel.BugFix,1,0.77
5b54b543792fd6e0a30c1c213063b4aef3f14ea3,bugfix: don't record request time in subrequest,CommitLabel.BugFix,1,0.93
b79a49fc57b65ac63f2b3d02b60734d984da6634,Fixed when a crash when there is bogus import statement; alias but no path.,CommitLabel.BugFix,1,0.99
b748c8980cbb6575c673625b4cf4a3f7f139662b,"Safe-get only prints keys on error, not whole target map",CommitLabel.BugFix,1,0.97
6a2b9c31b1c8484471b8e140a92ec81de1fce40f,fix a bug where ngrokd would reject http requests with an authorization header if the client had not specified any authentication necessary,CommitLabel.BugFix,1,0.99
